Reporting Area,MMWR Year,MMWR Week,"Hemolytic uremic snydrome post-diarrheal, Current week","Hemolytic uremic snydrome post-diarrheal, Current week, flag","Hemolytic uremic snydrome post-diarrheal, Previous 52 weeks Max†","Hemolytic uremic snydrome post-diarrheal, Previous 52 weeks Max†, flag","Hemolytic uremic snydrome post-diarrheal, Cum 2021†","Hemolytic uremic snydrome post-diarrheal, Cum 2021†, flag","Hemolytic uremic snydrome post-diarrheal, Cum 2020†","Hemolytic uremic snydrome post-diarrheal, Cum 2020†, flag","Hepatitis A, acute, Current week","Hepatitis A, acute, Current week, flag","Hepatitis A, acute, Previous 52 weeks Max†","Hepatitis A, acute, Previous 52 weeks Max†, flag","Hepatitis A, acute, Cum 2021†","Hepatitis A, acute, Cum 2021†, flag","Hepatitis A, acute, Cum 2020†","Hepatitis A, acute, Cum 2020†, flag","Hepatitis B, acute, Current week","Hepatitis B, acute, Current week, flag","Hepatitis B, acute, Previous 52 weeks Max†","Hepatitis B, acute, Previous 52 weeks Max†, flag","Hepatitis B, acute, Cum 2021†","Hepatitis B, acute, Cum 2021†, flag","Hepatitis B, acute, Cum 2020†","Hepatitis B, acute, Cum 2020†, flag",Location 1,Location 2,Reporting Area Sort,geocode
VIRGINIA,2021,6,,-,1,,1,,,-,,-,12,,1,,32,,,-,5,,,-,4,,VIRGINIA,,20210636,POINT (-78.666382 37.510861)
ARIZONA,2021,6,,-,1,,,-,1,,1,,1,,4,,,-,,-,1,,1,,,-,ARIZONA,,20210649,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2021,6,,N,,NC,,N,,N,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20210664,
WISCONSIN,2021,6,,-,1,,1,,,-,,-,2,,,-,2,,,-,2,,1,,,-,WISCONSIN,,20210619,POINT (-89.732969 44.639954)
IDAHO,2021,6,,-,0,,,-,,-,,-,3,,,-,,-,,-,0,,,-,,-,IDAHO,,20210651,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2021,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20210668,POINT (-64.840836 18.060868)
MICHIGAN,2021,6,,-,1,,1,,,-,,-,2,,,-,2,,,-,3,,1,,4,,MICHIGAN,,20210617,POINT (-85.730977 44.874798)
GEORGIA,2021,6,,-,1,,,-,1,,5,,18,,49,,75,,,-,4,,3,,16,,GEORGIA,,20210632,POINT (-83.426574 32.638481)
NEW YORK CITY,2021,6,,-,0,,,-,,-,,-,11,,9,,10,,,-,3,,2,,7,,,NEW YORK CITY,20210612,
ARKANSAS,2021,6,,-,1,,2,,,-,1,,32,,59,,18,,,-,4,,3,,7,,ARKANSAS,,20210644,POINT (-92.439162 34.899825)
MISSISSIPPI,2021,6,,-,0,,,-,,-,1,,13,,38,,43,,,-,3,,1,,6,,MISSISSIPPI,,20210641,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2021,6,,-,0,,,-,,-,,-,0,,,-,1,,,-,0,,,-,,-,SOUTH DAKOTA,,20210627,POINT (-100.230491 44.43614)
WYOMING,2021,6,,-,0,,,-,,-,,-,2,,1,,,-,,-,1,,,-,,-,WYOMING,,20210656,POINT (-107.55145 42.999627)
MISSOURI,2021,6,,-,3,,,-,,-,,-,15,,4,,56,,,-,2,,,-,3,,MISSOURI,,20210624,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2021,6,,-,2,,1,,1,,5,,19,,24,,118,,,-,6,,4,,13,,,MIDDLE ATLANTIC,20210609,
CALIFORNIA,2021,6,,-,5,,2,,9,,1,,10,,4,,91,,,-,4,,1,,9,,CALIFORNIA,,20210659,POINT (-119.662127 37.211164)
